あ,a
緑绿
緩缓
締缔
編编
縁缘
縛缚
縫缝
縮缩
繕缮
繰缲
缶罐
網网
羅罗
罰罚
罷罢
職职
粛肃
腸肠
膚肤
脹胀
脅胁
勝胜
臓脏
脳脑
騰腾
舎舍
艦舰
芸艺
節节
範范
繭茧
薦荐
栄荣
薬药
獲获
蛍萤
営营
蔵藏
虜虏
慮虑
襲袭
見见
観观
規规
視视
覧览
覚觉
謄誊
計计
訂订
認认
討讨
譲让
訓训
議议
記记
講讲
許许
論论
訟讼
設设
訪访
証证
評评
識识
詐诈
訴诉
診诊
詞词
詔诏
訳译
試试
詩诗
詰诘
誠诚
話话
誕诞
該该
詳详
語语
誤误
誘诱
説说
請请
諸诸
諾诺
読读
課课
調调
談谈
謀谋
謁谒
諭谕
諮谘
謝谢
謡谣
謙谦
謹谨
譜谱
穀谷
貝贝
貞贞
負负
貢贡
財财
責责
賢贤
敗败
貨货
質质
販贩
貧贫
購购
貯贮
貫贯
貴贵
貸贷
貿贸
費费
賀贺
賊贼
賄贿
賃赁
資资
賦赋
賞赏
賜赐
賠赔
頼赖
賛赞
贈赠
躍跃
車车
軌轨
軒轩
転转
輪轮
軟软
軸轴
軽轻
載载
較较
輩辈
輝辉
輸输
轄辖
辺边
遼辽
達达
遷迁
過过
運运
還还
進进
遠远
違违
連连
遅迟
適适
選选
遺遗
郵邮
醸酿
酔醉
酢醋
採采
釈释
裏里
鑑鉴
針针
釣钓
鈍钝
鐘钟
鋼钢
銭钱
鉢钵
鉄铁
鈴铃
鉛铅
銅铜
銑铣
銘铭
銃铳
銀银
鋳铸
舗铺
鎖锁
鋭锐
錯错
錘锤
錠锭
鍛锻
鎮镇
鏡镜
長长
門门
閉闭
問问
閑闲
間间
聞闻
閥阀
閣阁
閲阅
隊队
陽阳
陰阴
陣阵
階阶
際际
陸陆
陳陈
険险
陥陷
隠隐
隷隶
難难
彫雕
霧雾
覇霸
韻韵
頂顶
項项
順顺
頑顽
顧顾
頒颁
預预
領领
頻频
題题
顔颜
額额
風风
飛飞
飢饥
飯饭
飲饮
飾饰
飽饱
飼饲
餓饿
館馆
馬马
駄驮
駆驱
駐驻
駅驿
験验
騎骑
騒骚
髄髓
魚鱼
鮮鲜
鯨鲸
鳥鸟
鶏鸡
鳴鸣
黒黑
黙默
斉齐
歯齿
齢龄
竜龙
亀龟
戸户
藍蓝
夾夹
頬颊
跡迹
佇伫
鬱郁
呑吞
乗乘
暢畅
儲储
嘩哗
補补
渉涉
腫腫
雰氛
穏稳
頓顿
鍋锅
餅饼
嵐岚
蘇苏
駒驹
馴驯
馳驰
諦谛
鍵键
囁嗫
潰溃
駝驼
駁驳
驥骥
驟骤
駿骏
驃骠
騙骗
筆笔
楊杨
